"year","Lakes","height"
1962,"StClair",174.77
1963,"Erie",173.726666666667
1963,"michHuron",175.9225
1963,"Ontario",74.655
1963,"StClair",174.56
1964,"Erie",173.6075
1964,"michHuron",175.6825
1964,"Ontario",74.2866666666667
1964,"StClair",174.365
1965,"Erie",173.7125
1965,"michHuron",175.915833333333
1965,"Ontario",74.3958333333333
1965,"StClair",174.533333333333
1966,"Erie",173.899166666667
1966,"michHuron",176.160833333333
1966,"Ontario",74.69
1966,"StClair",174.756666666667
1967,"Erie",174.059166666667
1967,"michHuron",176.300833333333
1967,"Ontario",74.8583333333333
1967,"StClair",174.925
1968,"Erie",174.204166666667
1968,"michHuron",176.446666666667
1968,"Ontario",74.7991666666667
1968,"StClair",175.060833333333
1969,"Erie",174.39
1969,"michHuron",176.695833333333
1969,"Ontario",74.7491666666667
1969,"StClair",175.261666666667
1970,"Erie",174.258333333333
1970,"michHuron",176.678333333333
1970,"Ontario",74.6858333333333
1970,"StClair",175.15
1971,"Erie",174.311666666667
1971,"michHuron",176.805
1971,"Ontario",74.7233333333333
1971,"StClair",175.269166666667
1972,"Erie",174.5
1972,"michHuron",176.888333333333
1972,"Ontario",74.935
1972,"StClair",175.420833333333
1973,"Erie",174.740833333333
1973,"michHuron",177.123333333333
1973,"Ontario",75.21
1973,"StClair",175.65
1974,"Erie",174.689166666667
1974,"michHuron",177.093333333333
1974,"Ontario",75.0658333333333
1974,"StClair",175.613333333333
1975,"Erie",174.615833333333
1975,"michHuron",176.973333333333
1975,"Ontario",74.81
1975,"StClair",175.515833333333
1976,"Erie",174.573333333333
1976,"michHuron",176.899166666667
1976,"Ontario",75.0441666666667
1976,"StClair",175.478333333333
1977,"Erie",174.2975
1977,"michHuron",176.505
1977,"Ontario",74.7583333333333
1977,"StClair",175.199166666667
1978,"Erie",174.3725
1978,"michHuron",176.590833333333
1978,"Ontario",74.9208333333333
1978,"StClair",175.270833333333
1979,"Erie",174.391666666667
1979,"michHuron",176.794166666667
1979,"Ontario",74.84
1979,"StClair",175.355833333333
1980,"Erie",174.521666666667
1980,"michHuron",176.803333333333
1980,"Ontario",74.8233333333333
1980,"StClair",175.4075
1981,"Erie",174.398333333333
1981,"michHuron",176.698333333333
1981,"Ontario",74.7858333333333
1981,"StClair",175.295833333333
1982,"Erie",174.425
1982,"michHuron",176.598333333333
1982,"Ontario",74.7525
1982,"StClair",175.299166666667
1983,"Erie",174.520833333333
1983,"michHuron",176.833333333333
1983,"Ontario",74.8216666666667
1983,"StClair",175.433333333333
1984,"Erie",174.5225
1984,"michHuron",176.895
1984,"Ontario",74.9016666666667
1984,"StClair",175.435
1985,"Erie",174.728333333333
1985,"michHuron",177.126666666667
1985,"Ontario",74.8775
1985,"StClair",175.7
1986,"Erie",174.898333333333
1986,"michHuron",177.2925
1986,"Ontario",75.1475
1986,"StClair",175.851666666667
1987,"Erie",174.6675
1987,"michHuron",176.97
1987,"Ontario",74.8491666666667
1987,"StClair",175.560833333333
1988,"Erie",174.261666666667
1988,"michHuron",176.564166666667
1988,"Ontario",74.68
1988,"StClair",175.193333333333
1989,"Erie",174.225833333333
1989,"michHuron",176.400833333333
1989,"Ontario",74.7608333333333
1989,"StClair",175.109166666667
1990,"Erie",174.294166666667
1990,"michHuron",176.35
1990,"Ontario",74.8041666666667
1990,"StClair",175.130833333333
1991,"Erie",174.326666666667
1991,"michHuron",176.469166666667
1991,"Ontario",74.87
1991,"StClair",175.1975
1992,"Erie",174.356666666667
1992,"michHuron",176.479166666667
1992,"Ontario",74.8325
1992,"StClair",175.22
1993,"Erie",174.504166666667
1993,"michHuron",176.695833333333
1993,"Ontario",75.0425
1993,"StClair",175.380833333333
1994,"Erie",174.366666666667
1994,"michHuron",176.678333333333
1994,"Ontario",74.755
1994,"StClair",175.29
1995,"Erie",174.284166666667
1995,"michHuron",176.5275
1995,"Ontario",74.7391666666667
1995,"StClair",175.183333333333
1996,"Erie",174.375
1996,"michHuron",176.654166666667
1996,"Ontario",74.8733333333333
1996,"StClair",175.246666666667
1997,"Erie",174.7175
1997,"michHuron",176.984166666667
1997,"Ontario",74.9625
1997,"StClair",175.6125
1998,"Erie",174.550833333333
1998,"michHuron",176.716666666667
1998,"Ontario",74.91
1998,"StClair",175.3975
1999,"Erie",174.1025
1999,"michHuron",176.235833333333
1999,"Ontario",74.5725
1999,"StClair",174.975833333333
2000,"Erie",173.99
2000,"michHuron",175.978333333333
2000,"Ontario",74.78
2000,"StClair",174.7925
2001,"Erie",173.914166666667
2001,"michHuron",175.950833333333
2001,"Ontario",74.6991666666667
2001,"StClair",174.761666666667
2002,"Erie",174.058333333333
2002,"michHuron",176.118333333333
2002,"Ontario",74.79
2002,"StClair",174.883333333333
2003,"Erie",173.965833333333
2003,"michHuron",175.891666666667
2003,"Ontario",74.7133333333333
2003,"StClair",174.7375
2004,"Erie",174.115833333333
2004,"michHuron",176.110833333333
2004,"Ontario",74.8483333333333
2004,"StClair",174.916666666667
2005,"Erie",174.17
2005,"michHuron",176.09
2005,"Ontario",74.8216666666667
2005,"StClair",174.938333333333
2006,"Erie",174.146666666667
2006,"michHuron",176.015833333333
2006,"Ontario",74.8308333333333
2006,"StClair",174.891666666667
2007,"Erie",174.139166666667
2007,"michHuron",175.943333333333
2007,"Ontario",74.7516666666667
2007,"StClair",174.848333333333
2008,"Erie",174.159166666667
2008,"michHuron",176.005
2008,"Ontario",74.875
2008,"StClair",174.92
2009,"Erie",174.248333333333
2009,"michHuron",176.258333333333
2009,"Ontario",74.8733333333333
2009,"StClair",175.076666666667
