"INDEX","TICKS","BROOD","HEIGHT","YEAR","LOCATION","cHEIGHT","ij","ijk"
"78",0,"526",496,"95","51",33.7593052109181,24,78
"79",2,"528",466,"95","33",3.75930521091811,25,79
"80",0,"528",466,"95","33",3.75930521091811,25,80
"81",3,"528",466,"95","33",3.75930521091811,25,81
"82",1,"531",488,"95","44",25.7593052109181,26,82
"83",7,"533",442,"95","19",-20.2406947890819,27,83
"84",2,"533",442,"95","19",-20.2406947890819,27,84
"85",16,"533",442,"95","19",-20.2406947890819,27,85
"86",12,"533",442,"95","19",-20.2406947890819,27,86
"87",0,"533",442,"95","19",-20.2406947890819,27,87
"88",1,"535",442,"95","19",-20.2406947890819,28,88
"89",0,"537",533,"95","63",70.7593052109181,29,89
"90",0,"537",533,"95","63",70.7593052109181,29,90
"91",1,"537",533,"95","63",70.7593052109181,29,91
"92",0,"537",533,"95","63",70.7593052109181,29,92
"93",0,"537",533,"95","63",70.7593052109181,29,93
"94",1,"537",533,"95","63",70.7593052109181,29,94
"95",0,"537",533,"95","63",70.7593052109181,29,95
"96",0,"538",533,"95","63",70.7593052109181,30,96
"97",0,"539",515,"95","59",52.7593052109181,31,97
"98",0,"539",515,"95","59",52.7593052109181,31,98
"99",0,"539",515,"95","59",52.7593052109181,31,99
"100",0,"539",515,"95","59",52.7593052109181,31,100
"101",5,"540",518,"95","60",55.7593052109181,32,101
"102",2,"540",518,"95","60",55.7593052109181,32,102
"103",2,"542",493,"95","48",30.7593052109181,33,103
"104",1,"542",493,"95","48",30.7593052109181,33,104
"105",1,"542",493,"95","48",30.7593052109181,33,105
"106",0,"548",468,"95","34",5.75930521091811,34,106
"107",0,"548",468,"95","34",5.75930521091811,34,107
"108",1,"548",468,"95","34",5.75930521091811,34,108
"109",1,"549",476,"95","38",13.7593052109181,35,109
"110",1,"549",476,"95","38",13.7593052109181,35,110
"111",0,"549",476,"95","38",13.7593052109181,35,111
"112",0,"549",476,"95","38",13.7593052109181,35,112
"113",5,"550",446,"95","22",-16.2406947890819,36,113
"114",3,"550",446,"95","22",-16.2406947890819,36,114
"115",2,"553",460,"95","30",-2.24069478908189,37,115
"116",2,"559",525,"95","62",62.7593052109181,38,116
"117",1,"559",525,"95","62",62.7593052109181,38,117
"118",1,"601",410,"96","3",-52.2406947890819,39,118
"119",0,"601",410,"96","3",-52.2406947890819,39,119
"120",2,"601",410,"96","3",-52.2406947890819,39,120
"121",5,"601",410,"96","3",-52.2406947890819,39,121
"122",1,"601",410,"96","3",-52.2406947890819,39,122
"123",2,"601",410,"96","3",-52.2406947890819,39,123
"124",2,"601",410,"96","3",-52.2406947890819,39,124
"125",3,"602",417,"96","6",-45.2406947890819,40,125
"126",14,"602",417,"96","6",-45.2406947890819,40,126
"127",11,"602",417,"96","6",-45.2406947890819,40,127
"128",9,"602",417,"96","6",-45.2406947890819,40,128
"129",4,"602",417,"96","6",-45.2406947890819,40,129
"130",10,"602",417,"96","6",-45.2406947890819,40,130
"131",33,"602",417,"96","6",-45.2406947890819,40,131
"132",19,"602",417,"96","6",-45.2406947890819,40,132
"133",16,"602",417,"96","6",-45.2406947890819,40,133
"134",16,"603",430,"96","14",-32.2406947890819,41,134
"135",13,"603",430,"96","14",-32.2406947890819,41,135
"136",11,"603",430,"96","14",-32.2406947890819,41,136
"137",7,"603",430,"96","14",-32.2406947890819,41,137
"138",4,"603",430,"96","14",-32.2406947890819,41,138
"139",11,"603",430,"96","14",-32.2406947890819,41,139
"140",1,"604",456,"96","27",-6.24069478908189,42,140
"141",1,"604",456,"96","27",-6.24069478908189,42,141
"142",4,"604",456,"96","27",-6.24069478908189,42,142
"143",6,"605",457,"96","28",-5.24069478908189,43,143
"144",2,"605",457,"96","28",-5.24069478908189,43,144
"145",7,"605",457,"96","28",-5.24069478908189,43,145
"146",8,"605",457,"96","28",-5.24069478908189,43,146
"147",14,"605",457,"96","28",-5.24069478908189,43,147
"148",6,"606",430,"96","14",-32.2406947890819,44,148
"149",13,"606",430,"96","14",-32.2406947890819,44,149
"150",5,"606",430,"96","14",-32.2406947890819,44,150
"151",8,"606",430,"96","14",-32.2406947890819,44,151
"152",13,"606",430,"96","14",-32.2406947890819,44,152
"153",17,"606",430,"96","14",-32.2406947890819,44,153
"154",5,"606",430,"96","14",-32.2406947890819,44,154
"155",1,"606",430,"96","14",-32.2406947890819,44,155
"156",1,"606",430,"96","14",-32.2406947890819,44,156
"157",2,"606",430,"96","14",-32.2406947890819,44,157
"158",7,"607",423,"96","10",-39.2406947890819,45,158
"159",7,"608",421,"96","8",-41.2406947890819,46,159
"160",11,"608",421,"96","8",-41.2406947890819,46,160
"161",1,"609",525,"96","62",62.7593052109181,47,161
"162",0,"609",525,"96","62",62.7593052109181,47,162
"163",5,"610",509,"96","55",46.7593052109181,48,163
"164",4,"610",509,"96","55",46.7593052109181,48,164
"165",0,"611",499,"96","52",36.7593052109181,49,165
"166",0,"611",499,"96","52",36.7593052109181,49,166
"167",0,"611",499,"96","52",36.7593052109181,49,167
"168",7,"612",503,"96","53",40.7593052109181,50,168
"169",5,"612",503,"96","53",40.7593052109181,50,169
"170",3,"612",503,"96","53",40.7593052109181,50,170
"171",1,"612",503,"96","53",40.7593052109181,50,171
"172",6,"612",503,"96","53",40.7593052109181,50,172
"173",1,"614",492,"96","47",29.7593052109181,51,173
"174",2,"614",492,"96","47",29.7593052109181,51,174
"175",14,"615",491,"96","46",28.7593052109181,52,175
"176",5,"615",491,"96","46",28.7593052109181,52,176
"177",27,"615",491,"96","46",28.7593052109181,52,177
"178",1,"616",475,"96","37",12.7593052109181,53,178
"179",2,"616",475,"96","37",12.7593052109181,53,179
"180",3,"616",475,"96","37",12.7593052109181,53,180
"181",0,"616",475,"96","37",12.7593052109181,53,181
"182",1,"617",479,"96","40",16.7593052109181,54,182
"183",0,"617",479,"96","40",16.7593052109181,54,183
"184",5,"617",479,"96","40",16.7593052109181,54,184
"185",5,"617",479,"96","40",16.7593052109181,54,185
"186",8,"617",479,"96","40",16.7593052109181,54,186
"187",21,"617",479,"96","40",16.7593052109181,54,187
"188",15,"618",472,"96","36",9.75930521091811,55,188
"189",15,"618",472,"96","36",9.75930521091811,55,189
"190",6,"618",472,"96","36",9.75930521091811,55,190
"191",19,"618",472,"96","36",9.75930521091811,55,191
"192",14,"618",472,"96","36",9.75930521091811,55,192
"193",1,"621",485,"96","42",22.7593052109181,56,193
"194",1,"621",485,"96","42",22.7593052109181,56,194
"195",3,"621",485,"96","42",22.7593052109181,56,195
"196",2,"621",485,"96","42",22.7593052109181,56,196
"197",3,"621",485,"96","42",22.7593052109181,56,197
"198",2,"623",495,"96","50",32.7593052109181,57,198
"199",5,"623",495,"96","50",32.7593052109181,57,199
"200",0,"624",472,"96","36",9.75930521091811,58,200
"201",6,"624",472,"96","36",9.75930521091811,58,201
"202",3,"624",472,"96","36",9.75930521091811,58,202
"203",1,"625",458,"96","29",-4.24069478908189,59,203
"204",0,"625",458,"96","29",-4.24069478908189,59,204
"205",1,"625",458,"96","29",-4.24069478908189,59,205
"206",6,"625",458,"96","29",-4.24069478908189,59,206
"207",1,"625",458,"96","29",-4.24069478908189,59,207
"208",85,"626",449,"96","24",-13.2406947890819,60,208
"209",45,"626",449,"96","24",-13.2406947890819,60,209
"210",68,"626",449,"96","24",-13.2406947890819,60,210
"211",84,"626",449,"96","24",-13.2406947890819,60,211
"212",50,"626",449,"96","24",-13.2406947890819,60,212
"213",13,"628",442,"96","19",-20.2406947890819,61,213
"214",1,"628",442,"96","19",-20.2406947890819,61,214
"215",19,"629",448,"96","23",-14.2406947890819,62,215
"216",26,"629",448,"96","23",-14.2406947890819,62,216
"217",9,"629",448,"96","23",-14.2406947890819,62,217
"218",2,"629",448,"96","23",-14.2406947890819,62,218
"219",4,"629",448,"96","23",-14.2406947890819,62,219
"220",3,"629",448,"96","23",-14.2406947890819,62,220
"221",22,"630",448,"96","23",-14.2406947890819,63,221
"222",32,"630",448,"96","23",-14.2406947890819,63,222
"223",5,"631",403,"96","1",-59.2406947890819,64,223
"224",21,"631",403,"96","1",-59.2406947890819,64,224
"225",26,"631",403,"96","1",-59.2406947890819,64,225
"226",13,"631",403,"96","1",-59.2406947890819,64,226
"227",23,"631",403,"96","1",-59.2406947890819,64,227
"228",42,"632",411,"96","4",-51.2406947890819,65,228
"229",38,"632",411,"96","4",-51.2406947890819,65,229
"230",61,"632",411,"96","4",-51.2406947890819,65,230
"231",79,"632",411,"96","4",-51.2406947890819,65,231
"232",39,"632",411,"96","4",-51.2406947890819,65,232
"233",41,"632",411,"96","4",-51.2406947890819,65,233
"234",15,"634",415,"96","5",-47.2406947890819,66,234
"235",23,"634",415,"96","5",-47.2406947890819,66,235
"236",14,"634",415,"96","5",-47.2406947890819,66,236
"237",7,"635",427,"96","13",-35.2406947890819,67,237
"238",24,"636",424,"96","11",-38.2406947890819,68,238
"239",3,"638",525,"96","62",62.7593052109181,69,239
"240",1,"638",525,"96","62",62.7593052109181,69,240
"241",2,"640",521,"96","61",58.7593052109181,70,241
"242",1,"640",521,"96","61",58.7593052109181,70,242
"243",0,"640",521,"96","61",58.7593052109181,70,243
"244",3,"641",518,"96","60",55.7593052109181,71,244
"245",8,"641",518,"96","60",55.7593052109181,71,245
"246",1,"642",495,"96","50",32.7593052109181,72,246
"247",2,"642",495,"96","50",32.7593052109181,72,247
"248",0,"642",495,"96","50",32.7593052109181,72,248
"249",8,"643",495,"96","50",32.7593052109181,73,249
"250",3,"643",495,"96","50",32.7593052109181,73,250
"251",14,"643",495,"96","50",32.7593052109181,73,251
"252",16,"643",495,"96","50",32.7593052109181,73,252
"253",18,"643",495,"96","50",32.7593052109181,73,253
"254",11,"643",495,"96","50",32.7593052109181,73,254
"255",13,"643",495,"96","50",32.7593052109181,73,255
"256",6,"645",460,"96","30",-2.24069478908189,74,256
"257",7,"645",460,"96","30",-2.24069478908189,74,257
"258",10,"645",460,"96","30",-2.24069478908189,74,258
"259",5,"647",442,"96","19",-20.2406947890819,75,259
"260",7,"647",442,"96","19",-20.2406947890819,75,260
"261",25,"648",443,"96","20",-19.2406947890819,76,261
"262",11,"648",443,"96","20",-19.2406947890819,76,262
"263",6,"648",443,"96","20",-19.2406947890819,76,263
"264",4,"648",443,"96","20",-19.2406947890819,76,264
"265",7,"648",443,"96","20",-19.2406947890819,76,265
"266",4,"650",425,"96","12",-37.2406947890819,77,266
"267",6,"650",425,"96","12",-37.2406947890819,77,267
"268",2,"650",425,"96","12",-37.2406947890819,77,268
"269",5,"651",439,"96","18",-23.2406947890819,78,269
"270",3,"651",439,"96","18",-23.2406947890819,78,270
"271",7,"651",439,"96","18",-23.2406947890819,78,271
"272",3,"652",444,"96","21",-18.2406947890819,79,272
"273",1,"701",450,"97","25",-12.2406947890819,80,273
"274",4,"701",450,"97","25",-12.2406947890819,80,274
"275",4,"701",450,"97","25",-12.2406947890819,80,275
"276",2,"701",450,"97","25",-12.2406947890819,80,276
"277",5,"701",450,"97","25",-12.2406947890819,80,277
"278",3,"702",446,"97","22",-16.2406947890819,81,278
"279",0,"702",446,"97","22",-16.2406947890819,81,279
"280",3,"702",446,"97","22",-16.2406947890819,81,280
"281",1,"702",446,"97","22",-16.2406947890819,81,281
"282",2,"702",446,"97","22",-16.2406947890819,81,282
"283",3,"702",446,"97","22",-16.2406947890819,81,283
"284",1,"704",472,"97","36",9.75930521091811,82,284
"285",0,"704",472,"97","36",9.75930521091811,82,285
"286",4,"704",472,"97","36",9.75930521091811,82,286
"287",0,"704",472,"97","36",9.75930521091811,82,287
"288",0,"704",472,"97","36",9.75930521091811,82,288
"289",0,"705",472,"97","36",9.75930521091811,83,289
"290",0,"706",460,"97","30",-2.24069478908189,84,290
"291",0,"706",460,"97","30",-2.24069478908189,84,291
"292",0,"706",460,"97","30",-2.24069478908189,84,292
"293",1,"708",442,"97","19",-20.2406947890819,85,293
"294",3,"708",442,"97","19",-20.2406947890819,85,294
"295",4,"708",442,"97","19",-20.2406947890819,85,295
"296",0,"708",442,"97","19",-20.2406947890819,85,296
"297",4,"708",442,"97","19",-20.2406947890819,85,297
"298",2,"708",442,"97","19",-20.2406947890819,85,298
"299",0,"709",525,"97","62",62.7593052109181,86,299
"300",0,"709",525,"97","62",62.7593052109181,86,300
"301",1,"709",525,"97","62",62.7593052109181,86,301
"302",0,"710",533,"97","63",70.7593052109181,87,302
"303",1,"710",533,"97","63",70.7593052109181,87,303
"304",2,"710",533,"97","63",70.7593052109181,87,304
"305",0,"710",533,"97","63",70.7593052109181,87,305
"306",0,"710",533,"97","63",70.7593052109181,87,306
"307",0,"710",533,"97","63",70.7593052109181,87,307
"308",1,"711",513,"97","57",50.7593052109181,88,308
"309",0,"711",513,"97","57",50.7593052109181,88,309
"310",0,"711",513,"97","57",50.7593052109181,88,310
"311",1,"711",513,"97","57",50.7593052109181,88,311
"312",1,"711",513,"97","57",50.7593052109181,88,312
"313",0,"711",513,"97","57",50.7593052109181,88,313
"314",0,"711",513,"97","57",50.7593052109181,88,314
"315",0,"712",514,"97","58",51.7593052109181,89,315
"316",0,"712",514,"97","58",51.7593052109181,89,316
"317",0,"713",511,"97","56",48.7593052109181,90,317
"318",0,"713",511,"97","56",48.7593052109181,90,318
"319",1,"713",511,"97","56",48.7593052109181,90,319
"320",0,"713",511,"97","56",48.7593052109181,90,320
"321",0,"713",511,"97","56",48.7593052109181,90,321
"322",0,"714",511,"97","56",48.7593052109181,91,322
"323",0,"714",511,"97","56",48.7593052109181,91,323
"324",1,"714",511,"97","56",48.7593052109181,91,324
"325",0,"714",511,"97","56",48.7593052109181,91,325
"326",0,"714",511,"97","56",48.7593052109181,91,326
"327",0,"714",511,"97","56",48.7593052109181,91,327
"328",0,"715",496,"97","51",33.7593052109181,92,328
"329",0,"715",496,"97","51",33.7593052109181,92,329
"330",0,"715",496,"97","51",33.7593052109181,92,330
"331",0,"715",496,"97","51",33.7593052109181,92,331
"332",1,"716",494,"97","49",31.7593052109181,93,332
"333",0,"716",494,"97","49",31.7593052109181,93,333
"334",0,"717",494,"97","49",31.7593052109181,94,334
"335",0,"717",494,"97","49",31.7593052109181,94,335
"336",0,"717",494,"97","49",31.7593052109181,94,336
"337",2,"718",411,"97","4",-51.2406947890819,95,337
"338",4,"718",411,"97","4",-51.2406947890819,95,338
"339",4,"718",411,"97","4",-51.2406947890819,95,339
"340",1,"718",411,"97","4",-51.2406947890819,95,340
"341",2,"718",411,"97","4",-51.2406947890819,95,341
"342",2,"719",411,"97","4",-51.2406947890819,96,342
"343",1,"719",411,"97","4",-51.2406947890819,96,343
"344",4,"719",411,"97","4",-51.2406947890819,96,344
"345",1,"719",411,"97","4",-51.2406947890819,96,345
"346",3,"719",411,"97","4",-51.2406947890819,96,346
"347",3,"719",411,"97","4",-51.2406947890819,96,347
"348",2,"720",423,"97","10",-39.2406947890819,97,348
"349",0,"720",423,"97","10",-39.2406947890819,97,349
"350",3,"721",424,"97","11",-38.2406947890819,98,350
"351",2,"722",403,"97","1",-59.2406947890819,99,351
"352",0,"722",403,"97","1",-59.2406947890819,99,352
"353",1,"722",403,"97","1",-59.2406947890819,99,353
"354",0,"723",409,"97","2",-53.2406947890819,100,354
"355",3,"723",409,"97","2",-53.2406947890819,100,355
"356",1,"723",409,"97","2",-53.2406947890819,100,356
"357",10,"724",434,"97","16",-28.2406947890819,101,357
"358",4,"724",434,"97","16",-28.2406947890819,101,358
"359",1,"724",434,"97","16",-28.2406947890819,101,359
"360",2,"725",477,"97","39",14.7593052109181,102,360
"361",0,"725",477,"97","39",14.7593052109181,102,361
"362",1,"725",477,"97","39",14.7593052109181,102,362
"363",0,"727",472,"97","36",9.75930521091811,103,363
"364",0,"728",468,"97","34",5.75930521091811,104,364
"365",0,"728",468,"97","34",5.75930521091811,104,365
"366",0,"729",470,"97","35",7.75930521091811,105,366
"367",0,"730",486,"97","43",23.7593052109181,106,367
"368",0,"731",495,"97","50",32.7593052109181,107,368
"369",0,"731",495,"97","50",32.7593052109181,107,369
"370",0,"731",495,"97","50",32.7593052109181,107,370
"371",0,"731",495,"97","50",32.7593052109181,107,371
"372",0,"731",495,"97","50",32.7593052109181,107,372
"373",0,"732",483,"97","41",20.7593052109181,108,373
"374",0,"732",483,"97","41",20.7593052109181,108,374
"375",2,"732",483,"97","41",20.7593052109181,108,375
"376",2,"733",442,"97","19",-20.2406947890819,109,376
"377",2,"733",442,"97","19",-20.2406947890819,109,377
"378",0,"734",457,"97","28",-5.24069478908189,110,378
"379",4,"736",457,"97","28",-5.24069478908189,111,379
"380",5,"736",457,"97","28",-5.24069478908189,111,380
"381",2,"737",457,"97","28",-5.24069478908189,112,381
"382",3,"737",457,"97","28",-5.24069478908189,112,382
"383",2,"737",457,"97","28",-5.24069478908189,112,383
"384",2,"737",457,"97","28",-5.24069478908189,112,384
"385",1,"737",457,"97","28",-5.24069478908189,112,385
"386",2,"737",457,"97","28",-5.24069478908189,112,386
"387",0,"737",457,"97","28",-5.24069478908189,112,387
"388",2,"738",464,"97","31",1.75930521091811,113,388
"389",0,"738",464,"97","31",1.75930521091811,113,389
"390",1,"738",464,"97","31",1.75930521091811,113,390
"391",0,"739",433,"97","15",-29.2406947890819,114,391
"392",3,"739",433,"97","15",-29.2406947890819,114,392
"393",1,"739",433,"97","15",-29.2406947890819,114,393
"394",0,"739",433,"97","15",-29.2406947890819,114,394
"395",0,"740",442,"97","19",-20.2406947890819,115,395
"396",0,"740",442,"97","19",-20.2406947890819,115,396
"397",0,"741",433,"97","15",-29.2406947890819,116,397
"398",1,"741",433,"97","15",-29.2406947890819,116,398
"399",0,"741",433,"97","15",-29.2406947890819,116,399
"400",0,"742",430,"97","14",-32.2406947890819,117,400
"401",0,"742",430,"97","14",-32.2406947890819,117,401
"402",2,"743",450,"97","25",-12.2406947890819,118,402
"403",0,"743",450,"97","25",-12.2406947890819,118,403
