"","INDEX","TICKS","BROOD","HEIGHT","YEAR","LOCATION"
"201",201,6,624,472,96,36
"202",202,3,624,472,96,36
"203",203,1,625,458,96,29
"204",204,0,625,458,96,29
"205",205,1,625,458,96,29
"206",206,6,625,458,96,29
"207",207,1,625,458,96,29
"208",208,85,626,449,96,24
"209",209,45,626,449,96,24
"210",210,68,626,449,96,24
"211",211,84,626,449,96,24
"212",212,50,626,449,96,24
"213",213,13,628,442,96,19
"214",214,1,628,442,96,19
"215",215,19,629,448,96,23
"216",216,26,629,448,96,23
"217",217,9,629,448,96,23
"218",218,2,629,448,96,23
"219",219,4,629,448,96,23
"220",220,3,629,448,96,23
"221",221,22,630,448,96,23
"222",222,32,630,448,96,23
"223",223,5,631,403,96,1
"224",224,21,631,403,96,1
"225",225,26,631,403,96,1
"226",226,13,631,403,96,1
"227",227,23,631,403,96,1
"228",228,42,632,411,96,4
"229",229,38,632,411,96,4
"230",230,61,632,411,96,4
"231",231,79,632,411,96,4
"232",232,39,632,411,96,4
"233",233,41,632,411,96,4
"234",234,15,634,415,96,5
"235",235,23,634,415,96,5
"236",236,14,634,415,96,5
"237",237,7,635,427,96,13
"238",238,24,636,424,96,11
"239",239,3,638,525,96,62
"240",240,1,638,525,96,62
"241",241,2,640,521,96,61
"242",242,1,640,521,96,61
"243",243,0,640,521,96,61
"244",244,3,641,518,96,60
"245",245,8,641,518,96,60
"246",246,1,642,495,96,50
"247",247,2,642,495,96,50
"248",248,0,642,495,96,50
"249",249,8,643,495,96,50
"250",250,3,643,495,96,50
"251",251,14,643,495,96,50
"252",252,16,643,495,96,50
"253",253,18,643,495,96,50
"254",254,11,643,495,96,50
"255",255,13,643,495,96,50
"256",256,6,645,460,96,30
"257",257,7,645,460,96,30
"258",258,10,645,460,96,30
"259",259,5,647,442,96,19
"260",260,7,647,442,96,19
"261",261,25,648,443,96,20
"262",262,11,648,443,96,20
"263",263,6,648,443,96,20
"264",264,4,648,443,96,20
"265",265,7,648,443,96,20
"266",266,4,650,425,96,12
"267",267,6,650,425,96,12
"268",268,2,650,425,96,12
"269",269,5,651,439,96,18
"270",270,3,651,439,96,18
"271",271,7,651,439,96,18
"272",272,3,652,444,96,21
"273",273,1,701,450,97,25
"274",274,4,701,450,97,25
"275",275,4,701,450,97,25
"276",276,2,701,450,97,25
"277",277,5,701,450,97,25
"278",278,3,702,446,97,22
"279",279,0,702,446,97,22
"280",280,3,702,446,97,22
"281",281,1,702,446,97,22
"282",282,2,702,446,97,22
"283",283,3,702,446,97,22
"284",284,1,704,472,97,36
"285",285,0,704,472,97,36
"286",286,4,704,472,97,36
"287",287,0,704,472,97,36
"288",288,0,704,472,97,36
"289",289,0,705,472,97,36
"290",290,0,706,460,97,30
"291",291,0,706,460,97,30
"292",292,0,706,460,97,30
"293",293,1,708,442,97,19
"294",294,3,708,442,97,19
"295",295,4,708,442,97,19
"296",296,0,708,442,97,19
"297",297,4,708,442,97,19
"298",298,2,708,442,97,19
"299",299,0,709,525,97,62
"300",300,0,709,525,97,62
"301",301,1,709,525,97,62
"302",302,0,710,533,97,63
"303",303,1,710,533,97,63
"304",304,2,710,533,97,63
"305",305,0,710,533,97,63
"306",306,0,710,533,97,63
"307",307,0,710,533,97,63
"308",308,1,711,513,97,57
"309",309,0,711,513,97,57
"310",310,0,711,513,97,57
"311",311,1,711,513,97,57
"312",312,1,711,513,97,57
"313",313,0,711,513,97,57
"314",314,0,711,513,97,57
"315",315,0,712,514,97,58
"316",316,0,712,514,97,58
"317",317,0,713,511,97,56
"318",318,0,713,511,97,56
"319",319,1,713,511,97,56
"320",320,0,713,511,97,56
"321",321,0,713,511,97,56
"322",322,0,714,511,97,56
"323",323,0,714,511,97,56
"324",324,1,714,511,97,56
"325",325,0,714,511,97,56
"326",326,0,714,511,97,56
"327",327,0,714,511,97,56
"328",328,0,715,496,97,51
"329",329,0,715,496,97,51
"330",330,0,715,496,97,51
"331",331,0,715,496,97,51
"332",332,1,716,494,97,49
"333",333,0,716,494,97,49
"334",334,0,717,494,97,49
"335",335,0,717,494,97,49
"336",336,0,717,494,97,49
"337",337,2,718,411,97,4
"338",338,4,718,411,97,4
"339",339,4,718,411,97,4
"340",340,1,718,411,97,4
"341",341,2,718,411,97,4
"342",342,2,719,411,97,4
"343",343,1,719,411,97,4
"344",344,4,719,411,97,4
"345",345,1,719,411,97,4
"346",346,3,719,411,97,4
"347",347,3,719,411,97,4
"348",348,2,720,423,97,10
"349",349,0,720,423,97,10
"350",350,3,721,424,97,11
"351",351,2,722,403,97,1
"352",352,0,722,403,97,1
"353",353,1,722,403,97,1
"354",354,0,723,409,97,2
"355",355,3,723,409,97,2
"356",356,1,723,409,97,2
"357",357,10,724,434,97,16
"358",358,4,724,434,97,16
"359",359,1,724,434,97,16
"360",360,2,725,477,97,39
"361",361,0,725,477,97,39
"362",362,1,725,477,97,39
"363",363,0,727,472,97,36
"364",364,0,728,468,97,34
"365",365,0,728,468,97,34
"366",366,0,729,470,97,35
"367",367,0,730,486,97,43
"368",368,0,731,495,97,50
"369",369,0,731,495,97,50
"370",370,0,731,495,97,50
"371",371,0,731,495,97,50
"372",372,0,731,495,97,50
"373",373,0,732,483,97,41
"374",374,0,732,483,97,41
"375",375,2,732,483,97,41
"376",376,2,733,442,97,19
"377",377,2,733,442,97,19
"378",378,0,734,457,97,28
"379",379,4,736,457,97,28
"380",380,5,736,457,97,28
"381",381,2,737,457,97,28
"382",382,3,737,457,97,28
"383",383,2,737,457,97,28
"384",384,2,737,457,97,28
"385",385,1,737,457,97,28
"386",386,2,737,457,97,28
"387",387,0,737,457,97,28
"388",388,2,738,464,97,31
"389",389,0,738,464,97,31
"390",390,1,738,464,97,31
"391",391,0,739,433,97,15
"392",392,3,739,433,97,15
"393",393,1,739,433,97,15
"394",394,0,739,433,97,15
"395",395,0,740,442,97,19
"396",396,0,740,442,97,19
"397",397,0,741,433,97,15
"398",398,1,741,433,97,15
"399",399,0,741,433,97,15
"400",400,0,742,430,97,14
"401",401,0,742,430,97,14
"402",402,2,743,450,97,25
"403",403,0,743,450,97,25
